question,votes,tags
'automaticallyAdjustsScrollViewInsets' was deprecated in iOS 11.0,83,"ios, swift, xcode, deprecated"
How can I test Apple Push Notification Service without an iPhone?,83,"ios, testing, apple-push-notifications, ios-simulator"
dismissModalViewController AND pass data back,83,"iphone, ios, uiviewcontroller, modalviewcontroller"
How to create an “array of selectors”,83,"ios, objective-c, nsarray, selector"
'Framework not found' in Xcode,83,"ios, xcode, xcode6, ios-frameworks"
How to see the javascript errors of PhoneGap app in Xcode?,83,"javascript, ios, xcode, debugging, cordova"
The compiler is unable to type-check this expression swift 4?,83,"ios, swift"
"iOS 7 App Icons, Launch images And Naming Convention While Keeping iOS 6 Icons",83,"ios, xcode, ios7, xcode5"
The bundle UITests couldn’t be loaded because it is damaged or missing necessary resources. Try reinstalling the bundle,83,"ios, swift, travis-ci, uitest"
Why I can't use let in protocol in Swift?,83,"ios, swift, protocols, getter-setter, swift-protocols"
Error itms-90035 - Xcode,83,"ios, xcode, appstore-approval"
com.apple.WebKit.WebContent drops 113 error: Could not find specified service,83,"ios, webkit, wkwebview"
iOS 7 - is there a way to disable the swipe back and forward functionality in Safari?,83,"ios, safari, ios7"
What kind of sarcastic error is this iOS?,83,"ios, objective-c, debugging, nsdateformatter"
Best way to parse URL string to get values for keys?,82,"ios, objective-c, swift, parsing, cocoa-touch"
How to split filename from file extension in Swift?,82,"ios, string, swift"
Underline button text in Swift,82,"ios, xcode, swift"
Change UIButton BorderColor in Storyboard,82,"ios, colors, uibutton, storyboard"
iOS - UIImageView - how to handle UIImage image orientation,82,"ios, uiimageview, uiimage, orientation"
UIGestureRecognizer blocks subview for handling touch events,82,"objective-c, ios, uiview, uigesturerecognizer, uiresponder"
Xamarin.Forms ListView: Set the highlight color of a tapped item,82,"android, ios, listview, xamarin, xamarin.forms"
Limit number of characters in uitextview,82,"ios, iphone, uitextview, uitextviewdelegate"
Xcode 6 process launch failed: timed out trying to launch app,82,"ios, xcode, xcode6"
SwiftUI @Binding Initialize,82,"ios, swift, swiftui, ios13"
Centering subview's X in autolayout throws “not prepared for the constraint”,82,"ios, objective-c, autolayout, nslayoutconstraint, uiview-hierarchy"
AFNetworking Post Request,82,"ios, objective-c, afnetworking, afnetworking-2"
iPhone UITableView. How do turn on the single letter alphabetical list like the Music App?,82,"ios, iphone, objective-c, uitableview"
How do you draw a line programmatically from a view controller?,82,"ios, objective-c, uiview, uikit"
Attempting to load the view of a view controller while it is deallocating… UISearchController,82,"ios, swift, uisearchcontroller"
Circular UIImageView in UITableView without performance hit?,82,"ios, objective-c, uitableview, uiimageview"
modal View controllers - how to display and dismiss,82,"ios, objective-c, uiviewcontroller, presentviewcontroller, dismissviewcontroller"
Check if PHP-page is accessed from an iOS device,82,"php, iphone, ios, http-headers"
Add entry to iOS .plist file via Cordova config.xml,82,"ios, cordova, phonegap-plugins, cordova-3, cordova-plugins"
Show search bar in navigation bar without scrolling on iOS 11,82,"ios, uinavigationitem, uisearchcontroller"
Set rootViewController of UINavigationController by method other than initWithRootViewController,82,"ios, uinavigationcontroller, uitoolbar, iphone-5"
How do I use a UISegmentedControl to switch views?,82,"ios, objective-c, iphone, uisegmentedcontrol"
How to detect tableView cell touched or clicked in swift,82,"ios, swift, uitableview"
NSURLErrorDomain error code -999 in iOS,82,"ios, lua, coronasdk, nsurl, nsurlerrordomain"
How to get the scroll bar with CSS overflow on iOS,82,"css, ipad, ios"
Xcode 5 and iOS 7: Architecture and Valid architectures,82,"iphone, ios, xcode, ios7"
How do I upload a build to iTunes Connect for TestFlight?,82,"ios, xcode, app-store-connect, testflight"
Impossible to hide navigation bars in Safari iOS 7 for iPhone/iPod touch,82,"javascript, ios, html, ios7, safari"
/usr/bin/codesign failed with exit code 1,82,"iphone, ios, xcode, deployment, code-signing"
Google Analytics SDK 3.0 _sqlite3 linker errors in iOS,82,"ios, objective-c, sqlite, google-analytics"
Creating a reusable UIView with xib (and loading from storyboard),82,"ios, objective-c, uiview, storyboard, nib"
Xcode 6.3 freezes/hangs after opening XIB file,82,"ios, xcode, xcode6.3"
NSDictionary with ordered keys,82,"ios, objective-c, cocoa, nsdictionary"
HTML file input control with capture and accept attributes works wrong?,82,"android, ios, html, mobile"
How to connect Android device to an iOS device over BLE (Bluetooth Low Energy),82,"android, ios, bluetooth-lowenergy, core-bluetooth, android-4.3-jelly-bean"
Scale UIButton Animation- Swift [closed],81,"ios, swift, cgaffinetransformscale"
How to create a toast message in Swift?,81,"ios, swift"
How do I resize the UIImage to reduce upload image size,81,"ios, swift, uiimage"
How to add one month to an NSDate?,81,"ios, iphone, objective-c, nsdate"
How do I scale a UIButton's imageView?,81,"ios, uibutton, scale"
Save images in NSUserDefaults?,81,"ios, objective-c, iphone, swift, ipad"
Compare two version strings in Swift,81,"ios, swift"
How to get device width and height?,81,"ios, swift, cocoa-touch, uiscreen, cgsize"
Xcode 4 Error: Error Starting Executable,81,"xcode, ios, launch"
Share data between two or more iPhone applications,81,"iphone, ios, xcode, ipad, ios5"
Can UIView be copied?,81,"ios, objective-c, uiview, copy"
NSOperation and NSOperationQueue working thread vs main thread,81,"ios, objective-c, multithreading, nsoperation, nsoperationqueue"
Changing back button in iOS 7 disables swipe to navigate back,81,"ios, uinavigationcontroller, ios7, uibarbuttonitem, uiviewanimation"
Animate UILabel text between two numbers?,81,"ios, iphone, animation, text, uilabel"
Example of NSAttributedString with two different font sizes?,81,"ios, nsattributedstring"
ARC - The meaning of __unsafe_unretained?,81,"objective-c, ios, macos, xcode4, automatic-ref-counting"
"didReceiveRemoteNotification not called, iOS 10",81,"ios, objective-c, swift3, apple-push-notifications"
NSDictionary Key For Value/Object? [duplicate],81,"objective-c, cocoa-touch, ios, nsdictionary"
Sending SMS in iOS with Swift,81,"ios, swift, iphone, sms, imessage"
Setting up buttons in SKScene,81,"ios, objective-c, uibutton, sprite-kit"
application executable is missing a required architecture armv6,81,ios
How to get enum from raw value in Swift?,81,"ios, swift, enums"
What is the max. value of a double/float on iOS?,81,"ios, c, objective-c, double"
My app was just rejected for using the Ad support framework. Which library is responsible?,81,"ios, parse-platform, appstore-approval, flurry, testflight"
UIStackView : Is it really necessary to call both removeFromSuperView and removeArrangedSubview to remove a subview?,81,"ios, uistackview"
“Could not find Developer Disk Image”,81,"ios, iphone, xcode, xcode7, ios9.1"
"Why do I need @1x, @2x and @3x iOS images?",81,"ios, image, resolution, pixels"
xcode 5.1: libCordova.a architecture problems,81,"ios, xcode, cordova, xcode5.1"
iPhone/iPad browser simulator? [closed],81,"iphone, ios, xcode, ipad, ios-simulator"
Difference between 'YYYY' and 'yyyy' in NSDateFormatter,81,"ios, objective-c, nsdate, nsdateformatter"
Is it possible to debug “Terminated due to memory error”?,81,"ios, objective-c, memory-management, automatic-ref-counting"
"iOS app crashing every other launch, can't find error",81,"ios, xcode, crash, ios-simulator, sigabrt"
Determining if an iPhone is Jail broken Programmatically,81,"iphone, objective-c, ios, cocoa-touch, jailbreak"
Changing tab bar item image and text color iOS,80,"ios, swift, uitabbar, uitabbaritem"
How to enable back/left swipe gesture in UINavigationController after setting leftBarButtonItem?,80,"ios, objective-c, uinavigationcontroller, uinavigationbar, uinavigationitem"
Parse for iOS: Errors when trying to run the app,80,"ios, parse-platform"
Swift UIView background color opacity,80,"ios, swift, uiview, alpha"
How to use presentModalViewController to create a transparent view,80,"ios, iphone, uiviewcontroller"
How to restrict UITextField to take only numbers in Swift?,80,"ios, iphone, swift, ipad, uitextfield"
Programmatically navigate to another view controller/scene,80,"ios, swift, uiviewcontroller, uinavigationcontroller, xcode6"
why UITableViewAutomaticDimension not working?,80,"ios, objective-c, swift, uitableview, row-height"
UIView - How to get notified when the view is loaded?,80,"ios, objective-c, iphone, uiview, viewdidload"
Copy to clipboard using Javascript in iOS,80,"javascript, ios, copy, mobile-safari, clipboard"
presenting ViewController with NavigationViewController swift,80,"ios, swift, uinavigationcontroller, uinavigationbar, viewcontroller"
"What's ALWAYS_EMBED_SWIFT_STANDARD_LIBRARIES with CocoaPods, Swift 3 and Xcode 8",80,"ios, swift3, cocoapods, xcode8"
How do you move a CALayer instantly (without animation),80,"ios, objective-c, cocoa-touch, core-animation, calayer"
How do I get current playing time and total play time in AVPlayer?,80,"ios, avplayer"
How to display activity indicator in middle of the iphone screen?,80,"iphone, ios, ipad"
FBSDKCoreKit/FBSDKCoreKit.h not found error,80,"ios, frameworks"
How to get the name of the running application in iOS,80,"ios, xcode, uiapplication"
Assertion failure when using UISearchDisplayController in UITableViewController,80,"ios, ios6, uitableview, uisearchdisplaycontroller"
How do you check current view controller class in Swift?,80,"ios, swift"
I get an error “None of the input catalogs contained a matching launch image” in xCode5-iOS7,80,"ios, xcode, launchimage"
How to load GIF image in Swift?,80,"ios, swift, uiimageview, uiviewanimation"
setTimeout in React Native,80,"javascript, ios, settimeout, react-native"
How to set a timeout with AFNetworking,80,"objective-c, ios, xcode, networking, afnetworking"
How to animate the background color of a UILabel?,80,"ios, iphone, core-animation"
UIBarButtonItem: target-action not working?,80,"iphone, ios, objective-c, cocoa-touch"
How to generate UUID in ios,80,"ios, objective-c"
Objective-C setting NSDate to current UTC,80,"iphone, objective-c, ios, nsdate, utc"
How can I animate the movement of a view or image along a curved path?,80,"iphone, objective-c, ios, cocoa-touch, core-animation"
Passing arguments to selector in Swift,80,"ios, swift, uikit, selector"
How can I do Key Value Observing and get a KVO callback on a UIView's frame?,80,"iphone, ios, objective-c, uiview, key-value-observing"
What is the strong property attribute,80,"iphone, objective-c, ios, cocoa, macos"
Xcode 6.3 Crashes when navigating from storyboard to other Swift 1.2 file,80,"ios, swift, xcode"
Why am I getting an error “Failed to locate or generate matching signing assets” in Xcode 6?,80,"ios, iphone, xcode6, ios-provisioning"
AVAudioRecorder throws errors,80,"iphone, ios, ios5, avaudiorecorder"
Module 'Alamofire' has no member named 'request',79,"ios, alamofire"
How shouldChangeCharactersInRange works in Swift?,79,"ios, objective-c, swift, uitextfielddelegate, nsrange"
iOS 7 and later: set status bar style per view controller,79,"ios, cocoa-touch"
Analysing Assets.car file in iOS,79,"ios, iphone, ios7, ios6"
UITableView example for Swift,79,"ios, swift, uitableview"
Change the color of a link in an NSMutableAttributedString,79,"ios, iphone, nsattributedstring, nsmutableattributedstring"
How do I draw a circle in iOS Swift?,79,"ios, swift"
Symbol not found: kUTTypeImage,79,"ios, objective-c, linker-errors, mobilecoreservices"
Move or copy view controller from one storyboard to another,79,"ios, xcode, uiviewcontroller, storyboard"
How to change Button Title Alignment in Swift?,79,"ios, swift, uibutton"
UISegmentedControl change number of segments programmatically,79,"ios, uikit, uisegmentedcontrol"
What's the best way to detect when the app is entering the background for my view?,79,"ios, nstimer"
Converting all text to lower case in Objective-C,79,"objective-c, ios, lowercase"
NSURL to file path in test bundle with XCTest,79,"ios, tdd, nsbundle, xctest"
iOS download and save image inside app,79,"iphone, cocoa-touch, ios, ipad"
Any way to bold part of a NSString?,79,"objective-c, ios, nsstring"
file was built for archive which is not the architecture being linked (i386),79,"ios, iphone, xcode, ipad, linker-errors"
Property cannot be found in forward class object,79,"ios, xml, properties, gdataxml"
"Test target X encountered an error (Early unexpected exit, operation never finished bootstrapping - no restart will be attempted",79,"ios, unit-testing, xcode7, ocmock"
Jerky Scrolling After Updating UITableViewCell in place with UITableViewAutomaticDimension,79,"ios, uitableview, swift, ios8"
Xcode 9 : Module compiled with Swift 3.1 cannot be imported in Swift 4.0,79,"ios, cocoapods, facebook-login, xcode9-beta, swift4"
"iOS 10 GM release error when submitting apps “app attempts to access privacy-sensitive data without a usage description” due to GoogleSignIn, AdMob",79,"ios, firebase, admob, google-signin"
Where should I be setting autolayout constraints when creating views programmatically,79,"ios, cocoa-touch, autolayout"
Proper usage of the Alamofire's URLRequestConvertible,79,"ios, swift, alamofire"
UICollectionView flowLayout not wrapping cells correctly,79,"ios, ios6, uicollectionview, uicollectionviewcell"
Why doesn't Xcode 4 create any products?,79,"xcode, ios, xcode4"
Invoke native date picker from web-app on iOS/Android,79,"javascript, iphone, android, ios, html"
how to open particular screen on clicking on push notification for flutter,79,"android, ios, flutter, dart, firebase-cloud-messaging"
iOS equivalent for Android View.GONE visibility mode,79,"iphone, ios, interface-builder, visibility, autolayout"
iOS SDK - Programmatically generate a PDF file,79,"iphone, objective-c, ipad, ios, pdf-generation"
What does Unrestricted Web Access mean in iTunes Connect,79,"ios, uiwebview, app-store-connect, appstore-approval, sfsafariviewcontroller"
screen styling when virtual keyboard is active,79,"javascript, android, css, ios, mobile"
Flutter : How can I add divider between each List Item in my code?,78,"android, ios, flutter"
Indent the text in a UITextField,78,"iphone, objective-c, ios, cocoa-touch, uitextfield"
UITableview reloaddata with animation,78,"ios, uitableview, reloaddata"
UITableView: hide header from empty section,78,"objective-c, ios, uitableview, tableview"
How to identify previous view controller in navigation stack,78,"objective-c, ios, uiviewcontroller, uinavigationcontroller"
How to set iOS status bar background color in React Native?,78,"ios, react-native, ios7-statusbar"
How to write text on image in Objective-C (iOS)?,78,"ios, iphone, uiimageview"
iOS7 UITextView contentsize.height alternative,78,"ios, uitextview, ios7"
dyld: Library not loaded: @rpath/libswiftCore.dylib / Image not found,78,"ios, swift, xcode6"
Info.plist Utility Error: “Info.plist couldn't be opened because there is no such file”,78,"ios, objective-c, xcode, relative-path, info.plist"
AFNetworking 2.0 add headers to GET request,78,"iphone, ios, objective-c, afnetworking, afnetworking-2"
How to remove the last border of the last cell in UITableView?,78,"iphone, objective-c, ios, xcode, uitableview"
Get lighter and darker color variations for a given UIColor,78,"ios, swift, colors, core-graphics, uicolor"
Checking a null value in Objective-C that has been returned from a JSON string,78,"ios, objective-c, json"
How to change uitableview delete button text,78,"iphone, ios, uitableview, delegates"
What happens if my distribution certificate expires?,78,"ios, certificate, app-store, code-signing, certificate-expiry"
How to get UITableViewCell indexPath from the Cell?,78,"iphone, ios, objective-c, xcode, cocoa"
What properties can I set via an UIAppearance proxy?,78,"iphone, ios, ios5, ios6, uikit"
"Overriding method with selector 'touchesBegan:withEvent:' has incompatible type '(NSSet, UIEvent) -> ()'",78,"ios, swift, overriding"
How to clear or clean specific pod from the local cocoapods cache,78,"ios, xcode, cocoapods"
ZIP file content type for HTTP request [duplicate],78,"ios, http, nsurlrequest"
Can I use a UIRefreshControl in a UIScrollView?,78,"ios, iphone, uiscrollview, xamarin.ios, uirefreshcontrol"
How can I prevent the display on an iOS device from dimming and turning off? [duplicate],78,"iphone, ipad, screen, ios"
Using Multiple Storyboards in iOS,78,"ios, user-interface, ios5, xcode4.2, uistoryboard"
iOS autolayout to center my view between two views,78,"ios, interface-builder, autolayout"
Load local html into UIWebView using swift,78,"ios, swift, uiwebview"
IB Designables: Failed to update auto layout status: Failed to load designables from path (null),78,"ios, xcode"
Add rounded corners to all UIImageViews,78,"ios, subclass, code-reuse, objective-c-category"
iOS: How to debug “freshly launching” an app from a URL,78,"ios, xcode, debugging, ios-simulator, openurl"
Present and dismiss modal view controller,78,"ios, objective-c, uiviewcontroller, modal-view"
Could not load the “” image referenced from a nib in the bundle with identifier,78,"ios, iphone"
Auto Layout constraint on CALayer IOS,78,"ios, autolayout, calayer"
Write a file on iOS,78,"ios, iphone, file, nsbundle"
Ignore certain exceptions when using Xcode's All Exceptions breakpoint,78,"iphone, ios, xcode"
What exactly can CoreBluetooth applications do whilst in the background?,78,"ios, core-bluetooth"
How do I locate the CGRect for a substring of text in a UILabel?,78,"ios, ios7, uilabel, textkit"
Invalid iPhone Application Binary,78,"iphone, ios, app-store, code-signing, app-store-connect"
What exactly does `pod repo update` do?,78,"ios, iphone, xcode, cocoapods, podfile"
Debug iOS 6+7 Mobile Safari using the Chrome DevTools,78,"ios, safari, mobile-safari, google-chrome-devtools, web-inspector"
iPhone: What is a WWDR intermediate certificate?,78,"iphone, ios, app-store, provisioning"
How to draw a smooth circle with CAShapeLayer and UIBezierPath?,78,"ios, uikit, core-graphics, calayer, cashapelayer"
"“Do Not Embed”, “Embed & Sign”, “Embed Without Signing”. What are they?. What they do?",78,"ios, frameworks, code-signing, xcode11, ios-app-extension"
Tool to convert from Swift to objective-c [closed],78,"ios, objective-c, swift"
Why is a Safari page breaking iOS rendering?,78,"javascript, ios, iphone, safari, artifacts"
CoreData + iCloud + Cascade Delete - how to handle?,78,"ios, core-data, icloud, cascading-deletes"
"Swift - check if a timestamp is yesterday, today, tomorrow, or X days ago",77,"ios, swift, nsdate, nscalendar"
UINavigationBar - Set title programmatically?,77,"ios, iphone, xcode4, uinavigationbar"
Swift ios check if remote push notifications are enabled in ios9 and ios10,77,"ios, swift, xcode, push-notification"
iOS 7 Translucent Modal View Controller,77,"ios, objective-c, uinavigationcontroller, ios7, presentmodalviewcontroller"
Is there a way to get all values in NSUserDefaults? [duplicate],77,"iphone, ios, objective-c, ios6, nsuserdefaults"
Swift: How to refresh UICollectionView layout after rotation of the device,77,"ios, swift, uicollectionview, flowlayout"
Xcode / iOS simulator: Trigger significant location change manually,77,"iphone, ios, core-location, cllocationmanager"
WKWebView causes my view controller to leak,77,"ios, memory-leaks, webkit, ios8, wkwebview"
Closing a view displayed via a modal segue,77,"objective-c, ios, cocoa-touch, uistoryboard"
Storyboard Segue From View Controller to Itself,77,"ios, uitableview, uiviewcontroller, storyboard, segue"
How To Get Selected Value From UIPickerView,77,"ios, objective-c, cocoa-touch"
Command /Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/clang failed with exit code 1,77,"iphone, objective-c, ios, ipad"
Xcode 4.2 how include one project into another one?,77,"ios, version-control, xcode4.2"
"iOS: what's the fastest, most performant way to make a screenshot programmatically?",77,"ios, performance, core-graphics, graphicscontext, quartz-core"
Xcode 10.2 Failed to Run App on Simulator with iOS < 10,77,"ios, xcode, dyld, xcode10.2"
How to import own classes from your own project into a Playground,77,"ios, swift, swift-playground"
iPhone ad hoc build using Xcode 4,77,"ios, xcode4, adhoc"
Proper Realm usage patterns/best practices?,77,"ios, swift, realm"
is there any way to distribute ios applications outside app store?,77,"ios, iphone, ipad, app-distribution"
IOS simulator slow with Mavericks,77,"ios, xcode, ios-simulator, osx-mavericks"
Core Data - Failed to load optimized model at path,77,"ios, objective-c, xcode, core-data, ios9"
How do you loop AVPlayer in Swift?,76,"ios, swift"
iOS 7 round framed button,76,"ios, objective-c, cocoa-touch, uibutton"
UITextView starts at Bottom or Middle of the text,76,"ios, objective-c, swift, xcode, cocoa-touch"
How to find actual number of lines of UILabel?,76,"ios, uilabel"
How do I switch UIsegmentedControl programmatically?,76,"ios, iphone, uisegmentedcontrol"
"Warning : Failed child context type: Invalid child context 'virtualizedCell.cellKey' of type 'number' supplied to 'CellRenderer', expected 'string'",76,"ios, reactjs, react-native, expo"
Check key exists in NSDictionary,76,"ios, objective-c, iphone, nsdictionary"
How do I take a full screen Screenshot in Swift?,76,"ios, swift, uiimage, screenshot"
How to retrieve iPhone IDFA from API?,76,"ios, iphone, tvos, idfa"
safeAreaInsets in UIView is 0 on an iPhone X,76,"ios, iphone, swift, iphone-x"
Swift - Get device's WIFI IP Address,76,"ios, swift, network-programming"
Xcode: “This app could not be installed at this time.”,76,"ios, xcode, ios11, xcode9.2"
Trying to handle “back” navigation button action in iOS,76,"ios, uinavigationcontroller, uinavigationbar, selector"
How would I combine two arrays in Objective-C?,76,"ios, objective-c"
Create thread safe array in Swift,76,"ios, arrays, swift, multithreading, read-write"
React Native init specific version,76,"ios, react-native"
Create a button programmatically and set a background image,76,"ios, swift, uibutton"
Remove Content and Frame layout guides from UIScrollview,76,"ios, xcode, interface-builder"
How to scale down a UIImage and make it crispy / sharp at the same time instead of blurry?,76,"ios, image, uikit, core-graphics, scaling"
How can I change locale programmatically with Swift,76,"ios, xcode, swift, localization"
iOS UITextView or UILabel with clickable links to actions [duplicate],76,"ios, objective-c"
Tutorial for SLComposeViewController sharing [closed],76,"ios, ios6, slcomposeviewcontroller, social-framework"
Xcode 4 + iOS 4.3: “No Packager exists for the type of archive”,76,"iphone, objective-c, xcode, ios, ipad"
Changing language on iOS 8.1 simulator does not work,76,"ios, localization, ios-simulator, xcode6.1, ios8.1"
Auto-layout: What creates constraints named UIView-Encapsulated-Layout-Width & Height?,76,"ios, uitableview, uicollectionview, autolayout"
manual language selection in an iOS-App (iPhone and iPad),76,"ios, localization, selection, appsettings"
Is there any limit in storing values in NSUserDefaults?,76,"iphone, objective-c, ios, xcode, nsuserdefaults"
Why push notifications is not working on testflight?,76,"ios, push-notification, apple-push-notifications, testflight"
App “does not contain the correct beta entitlement”,76,"ios, app-store-connect"
Linking a static library to an iOS project in Xcode 4,76,"iphone, objective-c, ios, xcode4"
How can I prompt the user to turn on location services after user has denied their use,76,"ios, core-location"
Using SSL in an iPhone App - Export Compliance,76,"ios, iphone, ssl, encryption, app-store"
“Creating an image format with an unknown type is an error” with UIImagePickerController,76,"ios, swift, xcode, uiimageview, xcode8"
add Shadow on UIView using swift 3,75,"ios, swift3"
Save Struct to UserDefaults,75,"ios, swift, struct, nsuserdefaults"
UITextField “value changed” not firing when field is updated,75,"objective-c, ios, cocoa-touch, interface-builder"
Firebase Crashlytics: Upload missing dSYMs to see crashes from 1 versions.(iOS),75,"ios, firebase, crashlytics, deobfuscation"
How do I dismiss the iOS keyboard?,75,"ios, keyboard"
How to open Settings programmatically like in Facebook app?,75,"ios, objective-c"
How to hide uitabbarcontroller,75,"iphone, ios, uitabbarcontroller"
Converting iPhone xib to iPad xib?,75,"ios, iphone, xcode, ipad, xib"
How can I add a toolbar above the keyboard?,75,"ios, uitextfield, uitoolbar"
Change tab bar tint color on iOS 7,75,"ios, ios7, colors, tabs"
Programmatically Select all text in UITextField,75,"ios, swift, uitextfield, uikit"
Save custom objects into NSUserDefaults [duplicate],75,"ios, swift, nsuserdefaults"
How to fetch all contacts record in iOS 9 using Contacts Framework,75,"ios, ios9, nspredicate, contacts"
Force landscape mode in one ViewController using Swift,75,"ios, swift, landscape"
How to compress/resize image on iOS before uploading to a server?,75,"ios, file-upload, ios4, uiimage, nsdata"
iOS11 WKWebview crash due to NSInvalidUnarchiveOperationException,75,"ios, objective-c, iphone, ios11, wkwebview"
Change of UITextField placeholder color,75,"ios, uitextfield"
How to make an UIPickerView with a Done button?,75,"ios, swift, uipickerview"
UITableView backgroundColor always white on iPad,75,"ios, objective-c, ipad, uitableview, uibackgroundcolor"
security / codesign in Sierra: Keychain ignores access control settings and UI-prompts for permission,75,"ios, macos, keychain, codesign, macos-sierra"
Custom edit view in UITableViewCell while swipe left. Objective-C or Swift,75,"ios, objective-c, swift, uitableview, swipe"
How to store an image in core data,75,"ios, objective-c, core-data"
Twitter api text field value is truncated,75,"ios, json, swift, api, twitter"
"Struggling between native and phonegap, simple app requirements",75,"android, ios, cordova, hybrid-mobile-app, phonegap"
How to override @synthesized getters?,75,"iphone, objective-c, ios"
Display UIViewController as Popup in iPhone,75,"ios, iphone, uiviewcontroller, popup, uialertview"
UIView and initWithFrame and a NIB file. How can I get the NIB file loaded?,75,"ios, objective-c"
"“interfaceOrientation” is deprecated in iOS 8, How to change this method Objective C",75,"ios, objective-c, cocoa-touch"
UICollectionView: must be initialized with a non-nil layout parameter,75,"ios, uicollectionview"
iPhone “slide to unlock” animation,75,"ios, objective-c, cocoa-touch, core-animation"
How can I increase the Tap Area for UIButton?,75,"ios, objective-c, swift, uibutton"
Upload image with parameters in Swift,75,"ios, image, file-upload, swift"
How to enable swipe to delete cell in a TableView?,75,"ios, uitableview, uiswipegesturerecognizer"
<input type=“number”/> is not showing a number keypad on iOS,75,"ios, html"
Targeted for iPad option in Xcode,75,"ios, iphone, xcode, ipad"
"What should image sizes be at @1x, @2x and @3x in Xcode?",75,"ios, xcode, uiimage"
How to register a custom app opening URL scheme with Xcode 4?,75,"iphone, ios, ipad, xcode4"
How to disable/enable the return key in a UITextField?,75,"ios, objective-c, xcode, cocoa-touch"
"Redirect to application if installed, otherwise to App Store",75,"ios, redirect, app-store"
“initialize” class method for classes in Swift?,75,"ios, swift"
Is there any way to add constraint between a view and the top layout guide in a xib file?,75,"ios, xcode, ios7, xcode5"
Getting ITMS-4238 “Redundant Binary Upload” error no mater what I change the build version or app version to,75,"ios, app-store-connect, xcode6"
How to implement referral program in mobile Apps for both Android and iPhone,75,"android, ios, iphone, installation, tracking"
UIView animation vs CALayers,75,"ios, core-animation, calayer, uiviewanimation, caanimation"
How to change the status bar background color and text color on iOS 13?,75,"ios, swift, statusbar, ios13"
iOS 11 navigation bar height customizing,75,"ios, uinavigationbar, ios11"
cellForRowAtIndexPath: not called,74,"iphone, ios, uitableview"
iOS - Ensure execution on main thread [duplicate],74,"ios, xcode, multithreading, multitasking, shared-resource"
cocoapods not installing,74,"ios, cocoa, cocoapods"
Crashlytics in iOS won't proceed past “Build Your Project” in Fabric app,74,"ios, xcode, crashlytics, twitter-fabric"
Formatting a UITextField for credit card input like (xxxx xxxx xxxx xxxx),74,"ios, objective-c, swift, uitextfield, credit-card"
How can I reset the iOS Simulator from the command line?,74,"ios, workflow, simulator"
"NSPredicate to test for NULL, and blank strings",74,"ios, objective-c, nspredicate"
How to tint a transparent PNG image in iPhone?,74,"iphone, ios, image, uiimage, tint"
Presenting camera permission dialog in iOS 8,74,"ios, permissions, camera, ios8, ios-permissions"
Set deployment target for CocoaPods's pod,74,"ios, xcode, xcode7, cocoapods"
iOS: How to run a function after Device has Rotated (Swift),74,"ios, swift, rotation"
How to insert new cell into UITableView in Swift,74,"ios, iphone, swift, uitableview"
Navigation controller custom transition animation,74,"ios, cocoa-touch, custom-transition"
How do I create a release build in Xcode?,74,"ios, xcode, macos, build, release"
How to calculate UILabel height dynamically?,74,"iphone, ios, label, uilabel"
Left-align image and center text on UIButton,74,"ios, uiimage, uibutton"
How to check if a static library is built for 64-bit?,74,"ios, objective-c, static-libraries, lipo"
@IBDesignable crashing agent,74,"ios, xcode, swift, interface-builder"
Detecting iOS UIDevice orientation,74,"ios, objective-c, swift, orientation, uidevice"
Opening view controller from app delegate using swift,74,"ios, swift, uiviewcontroller, appdelegate"
how to use sendAsynchronousRequest:queue:completionHandler:,74,"iphone, ios, nsurlconnection"
using dispatch_sync in Grand Central Dispatch,74,"cocoa, ios, ios4, grand-central-dispatch"
Programmatically get a Storyboard ID?,74,"ios, objective-c, xcode, storyboard, identity"
How to find out what profile was used for building *.ipa file?,74,"iphone, ios, provisioning-profile"
openURL: deprecated in iOS 10,74,"ios, objective-c, nsurl, ios10"
NSURLSession: How to increase time out for URL requests?,74,"ios, objective-c, swift, http, nsurlsession"
Sizing a Container View with a controller of dynamic size inside a scrollview,74,"ios, uiscrollview, autolayout, uicontainerview"
Check if optional array is empty,74,"ios, arrays, swift"
dyld: Library not loaded: @rpath with iOS8,74,"ios, frameworks, ios8, xcode6"
Create and export an animated gif via iOS?,74,"ios, objective-c, swift, core-graphics, animated-gif"
Is it possible to set a cookie manually using sharedHTTPCookieStorage for a UIWebView?,74,"objective-c, ios, uiwebview"
Append String in Swift,74,"ios, objective-c, swift"
Adding new tabs to a tab bar controller,74,"ios, xcode, uitabbarcontroller"
Getting all cookies from WKWebView,74,"ios, swift, uiwebview, webkit, wkwebview"
Xcode 8 :function types cannot have argument label breaking my build,74,"ios, swift, xcode8, completionhandler"
Playing a sound with AVAudioPlayer,74,"ios, swift, audio, avaudioplayer"
Add spacing constraint to superview in Xcode 5,74,"ios, xcode, interface-builder, autolayout, xcode5"
NSLog on devices in iOS 10 / Xcode 8 seems to truncate? Why？,74,"ios, objective-c, xcode, ios10, xcode8"
Save sensitive data in React Native,74,"android, ios, react-native"
What version of mobile safari comes with each version of iOS?,74,"javascript, ios, webkit, mobile-safari"
Cannot verify client 3000,74,"ios, xcode, app-store, app-store-connect, xcode7"
